delay,freq,condition,textbox.text,,,,
0.1,1000,exp,50,,,,
0.1,1000,exp,200,,,,
0.1,400,unexp,100,,,,
0.1,1000,exp,80,,,,
0.1,400,unexp,350,,,,
0.1,1000,exp,10,,,,
0.1,1000,exp,50,,,,
0.1,1000,exp,64,,,Delay,Mean Reported Value
0.1,1000,exp,70,,,0.1,116.7ms
0.1,400,unexp,100,,,0.7,586ms
0.1,1000,exp,50,,,0.4,338.5ms
0.1,1000,exp,70,,,,
0.1,1000,exp,80,,,,
0.1,1000,exp,300,,,,
0.1,1000,exp,40,,,,
0.1,400,unexp,100,,,,
0.1,1000,exp,400,,,,
0.1,400,unexp,30,,,,
0.1,1000,exp,90,,,,
0.1,1000,exp,100,,,,
0.4,1000,exp,500,,,,
0.4,400,unexp,200,,,,
0.4,1000,exp,400,,,,
0.4,1000,exp,300,,,,
0.4,1000,exp,80,,,,
0.4,1000,exp,300,,,,
0.4,1000,exp,200,,,,
0.4,400,unexp,400,,,,
0.4,1000,exp,80,,,,
0.4,400,unexp,50,,,,
0.4,1000,exp,600,,,,
0.4,1000,exp,400,,,,
0.4,1000,exp,600,,,,
0.4,1000,exp,300,,,,
0.4,400,unexp,400,,,,
0.4,1000,exp,300,,,,
0.4,1000,exp,700,,,,
0.4,400,unexp,300,,,,
0.4,1000,exp,250,,,,
0.4,1000,exp,410,,,,
0.7,1000,exp,800,,,,
0.7,400,unexp,300,,,,
0.7,1000,exp,800,,,,
0.7,1000,exp,760,,,,
0.7,1000,exp,300,,,,
0.7,1000,exp,520,,,,
0.7,400,unexp,450,,,,
0.7,1000,exp,680,,,,
0.7,1000,exp,800,,,,
0.7,400,unexp,200,,,,
0.7,1000,exp,900,,,,
0.7,1000,exp,800,,,,
0.7,1000,exp,800,,,,
0.7,1000,exp,700,,,,
0.7,1000,exp,400,,,,
0.7,400,unexp,250,,,,
0.7,1000,exp,160,,,,
0.7,1000,exp,850,,,,
0.7,1000,exp,950,,,,
0.7,400,unexp,300,,,,
